writeWord	candidatWord	phoneticwriteWord	phoneticCanditatWord	levenshteinDistancePhonetic	firstLetterIdentical	wordLength	fauteOrtographe
bicarbonates de sodium	bicarbonate de sodium	BIKARBONATEDESODIUM	BIKARBONATEDESODIUM	0	1	22	1
metformie	metformine	METFORMI	METFORMIN	1	1	9	1
ibuprofen	ibuprofene	IBUPROFAN	IBUPROFAN	0	1	9	1
escitaloprem	escitalopram	ESITALOPREM	ESITALOPRAM	1	1	12	1
prochaine	procaine	PROCHAIN	PROKAIN	2	1	9	0
seretid	seretide	SERETI	SERETID	1	1	7	1
metformin	metformine	METFORMIN	METFORMIN	0	1	9	1
previskan	previscan	PREVISKAN	PREVISKAN	0	1	9	1
kargdegic	kardegic	KARGDEJIK	KARDEJIK	1	1	9	1
mementine	memantine	MEMANTIN	MEMANTIN	0	1	9	1
cokensen	cokenzen	KOKANSAN	KOKANZAN	1	1	8	1
simbriza	simbrinza	SINBRIZA	SINBRINZA	1	1	8	1
efflexor	effexor	EFLEXOR	EFEXOR	1	1	8	1
cimbalta	cymbalta	SINBALTA	SINBALTA	0	1	8	1
termine	terpine	TERMIN	TERPIN	1	1	7	0
pramipexol	pramipexole	PRAMIPEXOL	PRAMIPEXOL	0	1	10	1
forlex	forlax	FORL	FORLA	1	1	6	1
pravastatsine	pravastatine	PRAVASTATSIN	PRAVASTATIN	1	1	13	1
karegic	kardegic	KAREJIK	KARDEJIK	1	1	7	1
adancar	adancor	ADANKAR	ADANKOR	1	1	7	1
covensyl	coversyl	KOVANSIL	KOVERSIL	2	1	8	1
perindoprol	perindopril	PERINDOPROL	PERINDOPRIL	1	1	11	1
taerg	tareg	TER	TAREG	3	1	5	1
ardegic	kardegic	ARDEJIK	KARDEJIK	1	0	7	1
buspironne	buspirone	BUSPIRON	BUSPIRON	0	1	10	1
claritine	clarityne	KLARITIN	KLARITIN	0	1	9	1
prevsican	previscan	PREVSIKAN	PREVISKAN	2	1	9	1
avanys	avamys	AVANI	AVAMI	1	1	6	1
calciprat vitamine d	calciprat vitamine d3	KALSIPRATVITAMIN	KALSIPRATVITAMIN	0	1	20	1
cybalta	cymbalta	SIBALTA	SINBALTA	1	1	7	1
monorpost	monoprost	MONORPOS	MONOPROS	2	1	9	1
crestorr	crestor	KRESTOR	KRESTOR	0	1	8	1
progabaline	pregabaline	PROGABALIN	PREGABALIN	1	1	11	1
reminil	reminyl	REMINIL	REMINIL	0	1	7	1
ziloric	zyloric	ZILORIK	ZILORIK	0	1	7	1
spirova	spiriva	SPIROVA	SPIRIVA	1	1	7	1
ridedronate	risedronate	RIDEDRONAT	RISEDRONAT	1	1	11	1
bitildiem	bi tildiem	BITILDIEM	BITILDIEM	0	1	9	1
tergretol	tegretol	TERGRETOL	TEGRETOL	1	1	9	1
1 ornithine	l ornithine	ORNITIN	LORNITIN	1	0	11	1
zloric	zyloric	ZLORIK	ZILORIK	1	1	6	1
seresti	seresta	SERESTI	SERESTA	1	1	7	1
risodronate	risedronate	RISODRONAT	RISEDRONAT	1	1	11	1
imovanne	imovane	IMOVAN	IMOVAN	0	1	8	1
phosphorb	phosphore	FOSFORB	FOSFOR	1	1	9	0
ecomeprazole	esomeprazole	EKOMEPRAZOL	ESOMEPRAZOL	1	1	12	1
tacadol	takadol	TAKADOL	TAKADOL	0	1	7	1
hydroclorothiazide	hydrochlorothiazide	IDROKLOROTIAZID	IDROKLOROTIAZID	0	1	18	1
vidagliptine	vildagliptine	VIDAGLIPTIN	VILDAGLIPTIN	1	1	12	1
nemantine	memantine	NEMANTIN	MEMANTIN	1	0	9	1
kardensiel	cardensiel	KARDANSIEL	KARDANSIEL	0	0	10	1
symbicort turbuhaller	symbicort turbuhaler	SINBIKORTURBUAL	SINBIKORTURBUAL	0	1	21	1
levothrox	levothyrox	LEVOTRO	LEVOTIRO	1	1	9	1
finastiride	finasteride	FINASTIRID	FINASTERID	1	1	11	1
dogmatic	dogmatil	DOGMATIK	DOGMATI	1	1	8	1
kayexelate	kayexalate	KAIEXELAT	KAIEXALAT	1	1	10	1
gavisco	gaviscon	GAVISKO	GAVISKON	1	1	7	1
rythmondan	rythmodan	RITMONDAN	RITMODAN	1	1	10	1
lederfoldine	lederfoline	LEDERFOLDIN	LEDERFOLIN	1	1	12	1
coumadin	coumadine	KOUMADIN	KOUMADIN	0	1	8	1
tamsulozine	tamsulosine	TAMSULOZIN	TAMSULOSIN	1	1	11	1
tandenan	tadenan	TANDENAN	TADENAN	1	1	8	1
eupresyl	eupressyl	EPRESIL	EPRESIL	0	1	8	1
hsitidine	histidine	SITIDIN	ISTIDIN	2	1	9	1
fludindione	fluindione	FLUDINDION	FLUINDION	1	1	11	1
c arvedilol	carvedilol	KARVEDILOL	KARVEDILOL	0	1	11	1
colmetec	coolmetec	KOLMETEK	KOULMETEK	1	1	8	1
zyma d	zymad	ZIMA	ZIMA	0	1	6	1
duphalace	duphalac	DUFALAS	DUFALAK	1	1	9	1
hydrochlorotiazide	hydrochlorothiazide	IDROKLOROTIAZID	IDROKLOROTIAZID	0	1	18	1
permixion	permixon	PERMIXION	PERMIXON	1	1	9	1
disccotrine	discotrine	DISKOTRIN	DISKOTRIN	0	1	11	1
allourinol	allopurinol	ALOURINOL	ALOPURINOL	1	1	10	1
karaya	karayal	KARAIA	KARAIAL	1	1	6	0
trivasatal	trivastal	TRIVASATAL	TRIVASTAL	1	1	10	1
teresta	seresta	TERESTA	SERESTA	1	0	7	0
saxaglipine	saxagliptine	SAXAGLIPIN	SAXAGLIPTIN	1	1	11	1
allium	gallium	ALIUM	GALIUM	1	0	6	0
xarleto	xarelto	XARLETO	XARELTO	2	1	7	1
decapetyl	decapeptyl	DEKAPETI	DEKAPEPTI	1	1	9	1
furosimide	furosemide	FUROSIMID	FUROSEMID	1	1	10	1
fleciane	flecaine	FLESIAN	FLEKAIN	3	1	8	1
seropam	seropram	SEROPAM	SEROPRAM	1	1	7	1
